companyName;expectedArrivalHour;expectedArrivalDayOfWeek;probabilityOf60Delay
AIR CHINA;0-11;MONDAY;0.0
QATAR AIRWAYS;0-11;MONDAY;0.0
BRUSSELS AIRLINES;0-11;MONDAY;0.0
UNITED AIRLINES;0-11;MONDAY;0.0
UNITED AIRLINES;0-11;MONDAY;0.0
ETIHAD AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
EASYJET;0-11;MONDAY;0.015151515151515152
EASYJET;0-11;MONDAY;0.015151515151515152
AIR MOLDOVA;0-11;MONDAY;0.0
KLM ROYAL DUTCH AIRLINES;0-11;MONDAY;0.0
AIR FRANCE;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
LUFTHANSA;0-11;MONDAY;0.0
AUSTRIAN;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
VUELING;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
LUFTHANSA;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
EASYJET;0-11;MONDAY;0.015151515151515152
SWISS;0-11;MONDAY;0.0
BRITISH AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
EASYJET;0-11;MONDAY;0.015151515151515152
SWISS;0-11;MONDAY;0.0
AIR FRANCE;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
LOT POLISH AIRLINES;0-11;MONDAY;0.0
BRITISH AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
LUFTHANSA;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
SWISS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
SAS SCANDINAVIAN AIRLINES;0-11;MONDAY;0.16666666666666669
AEGEAN AIRLINES;0-11;MONDAY;0.0
TURKISH AIRLINES;0-11;MONDAY;0.0
BRUSSELS AIRLINES;0-11;MONDAY;0.0
MEA MIDDLE EAST AIRLINES;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
ALITALIA;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
BRITISH AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
KLM ROYAL DUTCH AIRLINES;0-11;MONDAY;0.0
AIR FRANCE;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
IBERIA;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
EASYJET;0-11;MONDAY;0.015151515151515152
EASYJET;0-11;MONDAY;0.015151515151515152
AEROFLOT;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.015151515151515152
SAS SCANDINAVIAN AIRLINES;0-11;MONDAY;0.16666666666666669
EASYJET;0-11;MONDAY;0.015151515151515152
EASYJET;0-11;MONDAY;0.015151515151515152
TAP PORTUGAL;0-11;MONDAY;0.0
TUNISAIR;12-15;MONDAY;0.0
SWISS;12-15;MONDAY;0.0
LUXAIR;12-15;MONDAY;0.0
BRITISH AIRWAYS;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731708
AIR FRANCE;12-15;MONDAY;0.0
SAS SCANDINAVIAN AIRLINES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731708
UKRAINE INTERNATIONAL;12-15;MONDAY;0.0
TAP PORTUGAL;12-15;MONDAY;0.0
SWISS;12-15;MONDAY;0.0
EMIRATES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731708
LUFTHANSA;12-15;MONDAY;0.0
KLM ROYAL DUTCH AIRLINES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731708
AIR FRANCE;12-15;MONDAY;0.0
TURKISH AIRLINES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731708
WIZZ AIR;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731708
SWISS;12-15;MONDAY;0.0
KUWAIT AIRWAYS;12-15;MONDAY;0.0
LUFTHANSA;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731708
