companyName;expectedArrivalHour;expectedArrivalDayOfWeek;probabilityOf60Delay
AIR CHINA;0-11;MONDAY;0.0
QATAR AIRWAYS;0-11;MONDAY;0.0
BRUSSELS AIRLINES;0-11;MONDAY;0.0
UNITED AIRLINES;0-11;MONDAY;0.0
UNITED AIRLINES;0-11;MONDAY;0.0
ETIHAD AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
EASYJET;0-11;MONDAY;0.01515151515151515
EASYJET;0-11;MONDAY;0.01515151515151515
AIR MOLDOVA;0-11;MONDAY;0.0
KLM ROYAL DUTCH AIRLINES;0-11;MONDAY;0.0
AIR FRANCE;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
LUFTHANSA;0-11;MONDAY;0.0
AUSTRIAN;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
VUELING;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
LUFTHANSA;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
EASYJET;0-11;MONDAY;0.01515151515151515
SWISS;0-11;MONDAY;0.0
BRITISH AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
EASYJET;0-11;MONDAY;0.01515151515151515
SWISS;0-11;MONDAY;0.0
AIR FRANCE;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
LOT POLISH AIRLINES;0-11;MONDAY;0.0
BRITISH AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
LUFTHANSA;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
SWISS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
SAS SCANDINAVIAN AIRLINES;0-11;MONDAY;0.16666666666666666
AEGEAN AIRLINES;0-11;MONDAY;0.0
TURKISH AIRLINES;0-11;MONDAY;0.0
BRUSSELS AIRLINES;0-11;MONDAY;0.0
MEA MIDDLE EAST AIRLINES;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
ALITALIA;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
BRITISH AIRWAYS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
KLM ROYAL DUTCH AIRLINES;0-11;MONDAY;0.0
AIR FRANCE;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
IBERIA;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
EASYJET;0-11;MONDAY;0.01515151515151515
EASYJET;0-11;MONDAY;0.01515151515151515
AEROFLOT;0-11;MONDAY;0.0
SWISS;0-11;MONDAY;0.0
EASYJET;0-11;MONDAY;0.01515151515151515
SAS SCANDINAVIAN AIRLINES;0-11;MONDAY;0.16666666666666666
EASYJET;0-11;MONDAY;0.01515151515151515
EASYJET;0-11;MONDAY;0.01515151515151515
TAP PORTUGAL;0-11;MONDAY;0.0
TUNISAIR;12-15;MONDAY;0.0
SWISS;12-15;MONDAY;0.0
LUXAIR;12-15;MONDAY;0.0
BRITISH AIRWAYS;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731707
AIR FRANCE;12-15;MONDAY;0.0
SAS SCANDINAVIAN AIRLINES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731707
UKRAINE INTERNATIONAL;12-15;MONDAY;0.0
TAP PORTUGAL;12-15;MONDAY;0.0
SWISS;12-15;MONDAY;0.0
EMIRATES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731707
LUFTHANSA;12-15;MONDAY;0.0
KLM ROYAL DUTCH AIRLINES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731707
AIR FRANCE;12-15;MONDAY;0.0
TURKISH AIRLINES;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731707
WIZZ AIR;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731707
SWISS;12-15;MONDAY;0.0
KUWAIT AIRWAYS;12-15;MONDAY;0.0
LUFTHANSA;12-15;MONDAY;0.0
EASYJET;12-15;MONDAY;0.07317073170731707
