Expected Arrival Date;Effective Arrival Date;Starting Airport;Airline;Flight number;Flight status;ExpectedDelay;Arrival Date Delta [minutes]
21.05.18 07:15;21.05.18 06:24;Beijing;AIR CHINA;CA861;ARRIVED;;-51
21.05.18 07:15;21.05.18 07:04;Doha;QATAR AIRWAYS;QR101;ARRIVED;;-11
21.05.18 07:35;21.05.18 07:44;Brussels;BRUSSELS AIRLINES;SN2711;ARRIVED;;9
21.05.18 07:40;;Washington;UNITED AIRLINES;UA974;CANCELLED;;
21.05.18 07:45;21.05.18 07:22;Newark;UNITED AIRLINES;UA956;ARRIVED;;-23
21.05.18 07:45;21.05.18 07:28;Abu Dhabi;ETIHAD AIRWAYS;EY051;ARRIVED;;-17
21.05.18 07:50;21.05.18 07:42;Palma Mallorca;EASYJET;EZY1514;ARRIVED;;-8
21.05.18 08:00;21.05.18 07:44;Nice;EASYJET;EZY1378;ARRIVED;;-16
21.05.18 08:15;21.05.18 08:05;Barcelona;EASYJET;EZY1404;ARRIVED;;-10
21.05.18 08:20;21.05.18 07:56;Chisinau;AIR MOLDOVA;9U451;ARRIVED;;-24
21.05.18 08:20;21.05.18 08:21;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1925;ARRIVED;;1
21.05.18 08:20;21.05.18 08:23;Paris CDG;AIR FRANCE;AF1542;ARRIVED;;3
21.05.18 08:25;21.05.18 08:12;Zurich;SWISS;LX2802;ARRIVED;;-13
21.05.18 08:30;21.05.18 08:35;Frankfurt;LUFTHANSA;LH1212;ARRIVED;;5
21.05.18 08:45;21.05.18 08:43;Vienna;AUSTRIAN;OS571;ARRIVED;;-2
21.05.18 08:50;21.05.18 08:32;Berlin SXF;EASYJET;EZY1590;ARRIVED;;-18
21.05.18 08:50;21.05.18 08:46;Barcelona;VUELING;VY6207;ARRIVED;;-4
21.05.18 08:55;21.05.18 08:39;Amsterdam;EASYJET;EZY1354;ARRIVED;;-16
21.05.18 08:55;21.05.18 08:48;Munich;LUFTHANSA;LH2382;ARRIVED;;-7
21.05.18 09:05;21.05.18 08:52;Paris ORY;EASYJET;EZS1398;ARRIVED;;-13
21.05.18 09:10;21.05.18 08:48;London LGW;EASYJET;EZY8462;ARRIVED;;-22
21.05.18 09:15;21.05.18 08:54;New York;SWISS;LX023;ARRIVED;;-21
21.05.18 09:20;21.05.18 09:18;London LHR;BRITISH AIRWAYS;BA724;ARRIVED;;-2
21.05.18 09:25;21.05.18 09:17;Brussels;EASYJET;EZS1534;ARRIVED;;-8
21.05.18 09:35;21.05.18 09:22;Ajaccio;EASYJET;EZS1306;ARRIVED;;-13
21.05.18 09:35;21.05.18 09:26;London LHR;SWISS;LX359;ARRIVED;;-9
21.05.18 09:40;21.05.18 09:32;Paris CDG;AIR FRANCE;AF1642;ARRIVED;;-8
21.05.18 09:40;21.05.18 09:37;Porto;EASYJET;EZY1452;ARRIVED;;-3
21.05.18 09:45;21.05.18 09:42;Warsaw;LOT POLISH AIRLINES;LO417;ARRIVED;;-3
21.05.18 09:50;21.05.18 09:35;London LCY;BRITISH AIRWAYS;BA2281;ARRIVED;;-15
21.05.18 10:05;21.05.18 09:56;Barcelona;EASYJET;EZS1402;ARRIVED;;-9
21.05.18 10:05;21.05.18 09:59;Frankfurt;LUFTHANSA;LH1214;ARRIVED;;-6
21.05.18 10:15;21.05.18 10:22;London LTN;EASYJET;EZY2051;ARRIVED;;7
21.05.18 10:20;21.05.18 10:06;Zurich;SWISS;LX2804;ARRIVED;;-14
21.05.18 10:20;21.05.18 10:10;Rome FCO;EASYJET;EZS1344;ARRIVED;;-10
21.05.18 10:25;21.05.18 10:16;Copenhagen;SAS SCANDINAVIAN AIRLINES;SK613;ARRIVED;;-9
21.05.18 10:30;21.05.18 10:30;Athens;AEGEAN AIRLINES;A3854;ARRIVED;;0
21.05.18 10:35;21.05.18 10:26;Istanbul IST;TURKISH AIRLINES;TK1917;ARRIVED;;-9
21.05.18 10:35;21.05.18 10:31;Brussels;BRUSSELS AIRLINES;SN2713;ARRIVED;;-4
21.05.18 10:35;21.05.18 10:37;Beirut;MEA MIDDLE EAST AIRLINES;ME213;ARRIVED;;2
21.05.18 10:45;21.05.18 10:49;London LGW;EASYJET;EZS8464;ARRIVED;;4
21.05.18 10:55;21.05.18 10:53;Rome FCO;ALITALIA;AZ576;ARRIVED;;-2
21.05.18 10:55;21.05.18 11:32;Catania;EASYJET;EZS1562;ARRIVED;;37
21.05.18 11:00;21.05.18 10:57;London LHR;BRITISH AIRWAYS;BA726;ARRIVED;;-3
21.05.18 11:10;21.05.18 10:55;Alicante;EASYJET;EZS1426;ARRIVED;;-15
21.05.18 11:10;21.05.18 11:01;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1927;ARRIVED;;-9
21.05.18 11:10;21.05.18 11:11;Paris CDG;AIR FRANCE;AF1842;ARRIVED;;1
21.05.18 11:15;21.05.18 11:45;London LCY;SWISS;LX443;ARRIVED;;30
21.05.18 11:25;21.05.18 11:22;Madrid;SWISS;LX2043;ARRIVED;;-3
21.05.18 11:30;21.05.18 11:21;Madrid;IBERIA;IB3480;ARRIVED;;-9
21.05.18 11:30;21.05.18 11:32;London LHR;SWISS;LX353;ARRIVED;;2
21.05.18 11:35;21.05.18 11:18;Paris ORY;EASYJET;EZY1396;ARRIVED;;-17
21.05.18 11:35;21.05.18 11:24;Palerme;EASYJET;EZS1576;ARRIVED;;-11
21.05.18 11:35;21.05.18 11:27;Pristina;EASYJET;EZS1484;ARRIVED;;-8
21.05.18 11:40;21.05.18 11:18;Moscow SVO;AEROFLOT;SU2380;ARRIVED;;-22
21.05.18 11:40;21.05.18 11:39;Prague;SWISS;LX1473;ARRIVED;;-1
21.05.18 11:40;21.05.18 11:58;Porto;EASYJET;EZS1454;ARRIVED;;18
21.05.18 11:50;21.05.18 11:36;Stockholm;SAS SCANDINAVIAN AIRLINES;SK2615;ARRIVED;;-14
21.05.18 11:50;21.05.18 11:50;Faro;EASYJET;EZS1462;ARRIVED;;0
21.05.18 11:50;21.05.18 12:00;Lisbon;EASYJET;EZS1444;ARRIVED;;10
21.05.18 11:50;21.05.18 12:12;Lisbon;TAP PORTUGAL;TP952;ARRIVED;;22
21.05.18 12:05;21.05.18 11:53;Tunis;TUNISAIR;TU700;ARRIVED;;-12
21.05.18 12:05;21.05.18 12:03;Dublin;SWISS;LX411;ARRIVED;;-2
21.05.18 12:10;21.05.18 12:05;Luxembourg;LUXAIR;LG8365;ARRIVED;;-5
21.05.18 12:10;21.05.18 12:08;London LHR;BRITISH AIRWAYS;BA728;ARRIVED;;-2
21.05.18 12:15;21.05.18 11:48;Naples;EASYJET;EZY1554;ARRIVED;;-27
21.05.18 12:15;21.05.18 12:14;Paris CDG;AIR FRANCE;AF1742;ARRIVED;;-1
21.05.18 12:25;21.05.18 12:21;Oslo;SAS SCANDINAVIAN AIRLINES;SK4631;ARRIVED;;-4
21.05.18 12:35;21.05.18 13:16;Bordeaux;EASYJET;EZY1372;ARRIVED;;41
21.05.18 12:45;21.05.18 12:41;Kiev;UKRAINE INTERNATIONAL;PS485;ARRIVED;;-4
21.05.18 12:55;21.05.18 13:13;Porto;TAP PORTUGAL;TP938;ARRIVED;;18
21.05.18 13:10;21.05.18 13:09;Zurich;SWISS;LX2824;ARRIVED;;-1
21.05.18 13:15;21.05.18 13:01;Dubai;EMIRATES;EK089;ARRIVED;;-14
21.05.18 13:15;21.05.18 13:07;Nantes;EASYJET;EZS1364;ARRIVED;;-8
21.05.18 13:20;21.05.18 13:28;Frankfurt;LUFTHANSA;LH1216;ARRIVED;;8
21.05.18 13:35;21.05.18 13:34;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1929;ARRIVED;;-1
21.05.18 13:40;21.05.18 17:25;Manchester;EASYJET;EZY1949;ARRIVED;;225
21.05.18 13:50;21.05.18 13:58;Paris CDG;AIR FRANCE;AF1442;ARRIVED;;8
21.05.18 13:55;21.05.18 13:52;Istanbul IST;TURKISH AIRLINES;TK1921;ARRIVED;;-3
21.05.18 13:55;21.05.18 13:55;Nice;EASYJET;EZS1380;ARRIVED;;0
21.05.18 14:00;21.05.18 13:51;Bucharest;WIZZ AIR;W63087;ARRIVED;;-9
21.05.18 14:00;21.05.18 13:59;Edinburgh;EASYJET;EZY6905;ARRIVED;;-1
21.05.18 14:00;21.05.18 14:13;Zurich;SWISS;LX2806;ARRIVED;;13
21.05.18 14:10;21.05.18 13:48;Kuwait;KUWAIT AIRWAYS;KU161;ARRIVED;;-22
21.05.18 14:15;21.05.18 14:16;Frankfurt;LUFTHANSA;LH1218;ARRIVED;;1
21.05.18 14:20;21.05.18 14:09;Budapest;EASYJET;EZS1334;ARRIVED;;-11
21.05.18 14:20;21.05.18 14:28;Barcelona;EASYJET;EZS1412;ARRIVED;;8
21.05.18 14:25;21.05.18 14:27;Madrid;IBERIA;IB3490;ARRIVED;;2
21.05.18 14:30;21.05.18 14:18;London LHR;BRITISH AIRWAYS;BA730;ARRIVED;;-12
21.05.18 14:30;21.05.18 14:37;London LGW;EASYJET;EZS8466;ARRIVED;;7
21.05.18 14:40;21.05.18 14:32;Jeddah;SAUDIA;SV237;ARRIVED;;-8
21.05.18 14:45;21.05.18 14:22;Pise;EASYJET;EZS1564;ARRIVED;;-23
21.05.18 14:45;21.05.18 14:52;Algiers;AIR ALGERIE;AH2046;ARRIVED;;7
21.05.18 14:50;21.05.18 15:10;Olbia;EASYJET;EZS1502;ARRIVED;;20
21.05.18 14:55;21.05.18 15:00;Malaga;EASYJET;EZS1432;ARRIVED;;5
